objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
2017-0394;Design Museum Gent;tafelgrillproductverpakking;Snack Grill;Elektrische grill, type 217 van Nova. Het toestel heeft uitneembare anti-kleefplaten met tweezijdig gebruik, voor hamburgers en braadworsten. Het braadvet druppelt tijdens het bereiden door de bakplaat waardoor het voedsel minder vettig is. Het toestel heeft een behuizing uit bruine en oranje kunststof.;1979;"";Nova;uitvoerder;Tongeren
2017-0397;Design Museum Gent;schaal;Onderschaal wafelijzer;Metalen schaal waar een Nova wafelijzer op gemonteerd diende te worden.;1947;"";Nova;producent;Tongeren
2017-0398;Design Museum Gent;schaal;Onderschaal wafelijzer;Metalen schaal waar een Nova wafelijzer op gemonteerd diende te worden, wellicht model Multiplex.;1947;"";Nova;producent;Tongeren
2017-0404;Design Museum Gent;strijkijzer;Blue Ribbon;"Elektrisch strijkijzer met roodbruin gesloten handvat. 
Dit is één van de eerste strijkijzers van Nova die een duidelijke vormgeving heeft gekregen, in de toen gangbare streamline-vormgeving. Het is niet duidelijk waarom dit toestel Blue Ribbon heet.";1947;"";Nova;producent;Luik (stad)
2017-0409;Design Museum Gent;strijkijzerproductverpakking;Novamatic 1;"Elektrisch strijkijzer met roodbruin en wit gesloten handvat. Het toestel beschikt over een verstelbare draaiknop, een lampje voor lichtcontrole van de thermische regelaar en een automatische temperatuurregeling volgens de aard van de stof. Verder bestaat de zool uit roestvrij materiaal met een groot strijkoppervlak en speciaal schuin geslepen rand. Het stoffen snoer is in rood met witte diagonale strepen. Originele productverpakking met gebruiksaanwijzing zijn aanwezig. Het Nova Matic strijkijzer verscheen in twee kleurcombinaties; zwart/bruin-wit of rood-wit (beiden aanwezig in de collectie).";1956;1963;Nova;producent;Luik (stad)
2017-0412;Design Museum Gent;wasmachine;Miniwash;Compacte wasmachine in het wit met blauwe accenten met regelbare minutenteller en snoer. Het toestel was een populaire wasmachine om kleine hoeveelheden was in een korte tijdsperiode te wassen. Dit toestel werd aangekocht bij Calor en onder het merk Nova verkocht. Het toestel bleek een populaire wasmachine om kleine hoeveelheden was in een korte tijdsperiode te wassen. Hierop ontwikkelde Nova zijn latere modellen miniwash met trommel, die ze ook zelf produceerden.;1967;1975;Nova;uitvoerder;Tongeren
2017-0413;Design Museum Gent;frituurpandummy;Dummy van Fritex;Model voor uitvoering van een frituurpan, driekleurig, met temperatuurregelaar en minutenteller. Met zakje met toebehoren. Model niet uitgevoerd.;"";"";Nova;producent;Tongeren
2017-0414;Design Museum Gent;frituurpandummy;Dummy van Fritex;Model voor uitvoering van een frituurpan uit oranje kunststof. De voorzijde ontbreekt.;"";"";Nova;producent;Tongeren
2017-0415;Design Museum Gent;frituurpandummy;Dummy van Fritex;"Model voor uitvoering van een frituurpan, driekleurig met een temperatuurregelaar en een minutenteller.
Model niet uitgevoerd.";"";"";Nova;producent;Tongeren
2017-0416;Design Museum Gent;frituurpandummy;Dummy van frituurpan;Model voor de uitvoering van een frituurpan met witte behuizing en zwarte basis en deksel. Een handvat is gebroken en er ontbreekt ook een element naast de controlelampjes. Verder beschikt het over een temperatuurregelaar en informatie over de baktijden van de verschillende gerechten.;"";"";Nova;producent;Tongeren
2017-0417;Design Museum Gent;frituurpandummy;Dummy van deksel van frituurpan;Model voor uitvoering van het deksel van een frituurpan.;"";"";Nova;producent;Tongeren
2017-0418;Design Museum Gent;frituurpandummy;Dummy van deksel van frituurpan;Model voor uitvoering van het deksel van een frituurpan met een ovale vorm.;"";"";Nova;producent;Tongeren
2017-0420;Design Museum Gent;frituurpandummy;"Dummy van Nova ""Cool Friteuse"" (reeks)";"Model voor uitvoering van een frituurpan voor met ""cool touch"". Deze heeft een olie-inhoud van twee liter en een regelbare thermostaat.";"";"";Nova;producent;Tongeren
2017-0421;Design Museum Gent;strijkijzer;Verwarmingselement van strijkijzer;"";"";"";Nova;producent;Tongeren
2017-0422;Design Museum Gent;frituurpandummy;Dummy van Russell Hobbs;Model voor uitvoering van een frituurpan met witte behuizing en zwarte basis, deksel en handvaten. Het toestel beschikt over controlelampjes, een minutenteller, een thermostaat en informatie over de verschillende baktijden van meerdere gerechten.;"";"";Nova;producent;Tongeren
2017-0423;Design Museum Gent;strijkijzeronderdeel;Handvat van een strijkijzer;"";"";"";Nova;producent;Tongeren
2017-0424;Design Museum Gent;strijkijzeronderdeel;Handvat van een strijkijzer;"";"";"";Nova;producent;Tongeren
2017-0425;Design Museum Gent;strijkijzeronderdeel;Handvat van een strijkijzer;"";"";"";Nova;producent;Tongeren
2017-0426;Design Museum Gent;strijkijzeronderdeel;Handvat van een strijkijzer;"";"";"";Nova;producent;Tongeren
2017-0427;Design Museum Gent;strijkijzeronderdeel;Handvat van strijkijzer 'Standard';"";"";"";Nova;producent;Tongeren
2017-0428;Design Museum Gent;strijkijzeronderdeel;Handvat van strijkijzer 'Junior';"";"";"";Nova;producent;Tongeren
2017-0429;Design Museum Gent;frituurpandummy;Dummy van deksel van frituurpan;"";"";"";Nova;producent;Tongeren
2017-0430;Design Museum Gent;frituurpandummy;Dummy van deksel van frituurpan;Model voor het deksel van een frituurpan met uitgesneden kijkvenster, uit zwarte kunststof.;"";"";Nova;producent;Tongeren
2017-0431;Design Museum Gent;frituurpandummy;Dummy van deksel van frituurpan;Model voor het deksel van een frituurpan met uitgesneden kijkvenster, uit zwarte kunststof.;"";"";Nova;producent;Tongeren
2017-0432;Design Museum Gent;frituurpandummy;Dummy van deksel van frituurpan;Model voor het deksel van een frituurpan met uitgesneden kijkvenster, uit oranje kunststof.;"";"";Nova;producent;Tongeren
2017-0433_0-2;Design Museum Gent;strijkijzerdummy;Dummy van een strijkijzer;Model voor de uitvoering van een strijkijzer in zwart, metaal en rood met los, bijhorend handvat en snoer.;"";"";Nova;producent;Tongeren
2017-0434;Design Museum Gent;frituurpandummy;Dummy van een frituurpan;"";"";"";Nova;producent;Tongeren
2017-0435_0-2;Design Museum Gent;frituurpandekseldummy;Twee dummies van deksels van een frituurpan;Modellen voor de uitvoering van het deksel van frituurpan. Twee dezelfde exemplaren gekenmerkt door een ovale, concave vorm.;"";"";Nova;producent;Tongeren
2017-0436_0-2;Design Museum Gent;frituurpandekseldummy;Twee dummies van deksels van huishoudelijke apparaten;"Modellen voor de uitvoering van het deksel van een frituurpan met ""cool touch"". Twee dezelfde exemplaren uit een rechthoekige vorm met ronde uiteinden.";"";"";Nova;producent;Tongeren
2017-0439;Design Museum Gent;frituurpandekseldummy;Dummy van deksel van een frituurpan;"";"";"";Nova;producent;Tongeren
2017-0440_0-2;Design Museum Gent;frituurpandekseldummy;Twee nagenoeg identieke dummies van deksels van een frituurpan;"Modellen voor de uitvoering van het deksel van een frituurpan met ""cool touch"". Twee dezelfde exemplaren uit ovale vorm.";"";"";Nova;producent;Tongeren
2017-0441;Design Museum Gent;frituurpandummy;Dummy van een frituurpan;Model voor de uitvoering van een frituurpan met witte behuizing en zwarte basis en deksel. Het toestel beschikt over controlelampjes, een minutenteller, een temperatuurregelaar en informatie over de baktijden van de verschillende gerechten.;"";"";Nova;producent;Tongeren
2017-0443;Design Museum Gent;fonduetoesteldummy;Dummy van een fonduetoestel;Model voor de uitvoering van een fonduetoestel met witte behuizing, grijze basis en handvaten en zwart deksel. Het toestel heeft een ronde vorm en is voorzien van een temperatuurregelaar en een controlelampje. Dit model werd nooit uitgevoerd.;"";"";Nova;uitvoerder;Tongeren
2017-0444;Design Museum Gent;fonduetoesteldummy;Dummy van een fonduetoestel;Model voor de uitvoering van een fonduetoestel met grijze behuizing, donkergrijze basis, en geel handvat op het deksel. Het toestel is voorzien van een temperatuurregelaar en een controlelampje. Dit model werd nooit uitgevoerd.;"";"";Nova;uitvoerder;Tongeren
2017-0445;Design Museum Gent;barbecueonderdeeldummy;Dummy van een barbecue;De dummy bestaat uit een zwarte basis, een metalen plaat en een metalen rooster. Model voor een barbecue of steengrill. Uitgevoerd circa 1994.;1994;"";Nova;producent;Tongeren
2017-0446_0-5;Design Museum Gent;wasmachinedummy;Dummy van Miniwash Sirocco;Model voor de Sirocco was- en droogmachine. Nadat men had gewassen, diende men de was handmatig uit te wringen, waarna het toestel deze droogde. Dit toestel werd parallel aan de miniwash geproduceerd, tot aan het einde van de productie van Nova.;"";"";Nova;producent;Tongeren
2017-0447;Design Museum Gent;frituurpandekseldummy;Dummy van onderdeel van deksel van een frituurpan;Model voor de uitvoering van het deksel van een frituurpan.;"";"";Nova;producent;Tongeren
2017-0448;Design Museum Gent;wafelijzerdummy;Dummy van Croc'Seconde Plus (Classic Line);Model voor de uitvoering van een croc-toestel. Deze dummy werd naar alle waarschijnlijkheid gemaakt door Karl D'Hulst, stagiair industriële vormgeving bij Nova in 1985. Voor zijn stage-opdracht diende hij een stylingmodel te ontwerpen waarvoor er tevens een dummy diende te worden gemaakt.;1985;"";Nova;producent;Tongeren
2017-0449;Design Museum Gent;barbecuedummy;Dummy van een barbecue;Witte dummy - of twee dummy's - van een barbecue met metalen platen. Het geheel bestaat uit twee metalen platen, één verwarmingselement en diverse kunststof basisonderdelen.;"";"";Nova;producent;Tongeren
2017-0450;Design Museum Gent;broodroosteronderdeel;Onderdeel van broodrooster Nova;Vier metalen onderdelen van de zijkant van een broodrooster met klapdeurtjes.;"";"";Nova;producent;Luik (stad)
2017-0451;Design Museum Gent;wafelijzeronderdeel;Metalen voet om wafelijzer over te keren;Twee steunvoeten in metaal waarop een wafelijzer kan gekeerd worden.;"";"";Nova;producent;Luik (stad)
2017-0452;Design Museum Gent;frituurpanonderdeelprototype;Doorzichtig waterreservoir;Doorzichtig plastic reservoir met aanduiding van maateenheden in stift. Binnenin bevinden zich diverse onderdelen. Dit is een prototype van de geurfilter van een geurloze fiteuse die door Nova ontwikkeld werd op het einde van hun productie.;1997;"";Nova;producent;Tongeren
2017-0453;Design Museum Gent;onderdeel;Doos met onderdelen Nova;Kabels, kapotte koffiemolen, twee beschadigde haardroogkappen en diverse zakken met andere onderdelen.;"";"";Nova;producent;Tongeren
2019-0006;Design Museum Gent;productverpakking;Multex 2, type 10;"";"";"";Nova;producent;""
2540_0-7;Design Museum Gent;gordijnstoflap;Zeven lappen gordijnstof;De patronen van deze zeven lappen gordijnstof zijn ontworpen door Octave Landuyt. De meeste behoren tot de reeks 'Hartprints' van Herman Hart & Co. Deze Nederlandse firma, gespecialiseerd in gordijnstoffen, gaf aan diverse kunstenaars, zoals Landuyt en leden van de Cobra-beweging, de opdracht om dessins te ontwerpen.;1962;1962;Landuyt, OctaveHerman Hart & CoTextieldrukkerij-Stoomweverij ‘De Nijverheid NV’;ontwerperuitvoerderuitvoerder;GentAmsterdamEnschede
2540_1-7;Design Museum Gent;gordijnstoflap;Boreale nr. 11;Het patroon, ontworpen door Octave Landuyt, maakt deel uit van de reeks 'Hartprints' van Herman Hart & Co. Deze Nederlandse firma, gespecialiseerd in gordijnstoffen, gaf aan diverse kunstenaars, zoals Landuyt en leden van de Cobra-beweging, de opdracht om dessins te ontwerpen. Het patroon van deze lap gordijnstof kenmerkt zich door een drukke achtergrond, waarin ster-en cirkelmotieven domineren. Daarboven bevinden zich grote, ronde motieven, verwant aan het granaatappelmotief. Ze zijn onderling verbonden door twee kruisende banden, geschikt in verspringende verticale rijen. De kleurencombinatie bestaat uit tinten geel, oranje, groen, blauw en bruin. Patroon nr.: 37/0743/5.;1962;1962;Landuyt, OctaveHerman Hart & CoTextieldrukkerij-Stoomweverij ‘De Nijverheid NV’;ontwerperontwerperuitvoerder;GentAmsterdamEnschede
2540_2-7;Design Museum Gent;gordijnstoflap;Boreale;Het patroon, ontworpen door Octave Landuyt, maakt deel uit van de reeks 'Hartprints' van Herman Hart & Co. Deze Nederlandse firma, gespecialiseerd in gordijnstoffen, gaf aan diverse kunstenaars, zoals Landuyt en leden van de Cobra-beweging, de opdracht om dessins te ontwerpen. Het patroon van deze lap gordijnstof wordt gevormd door een afwisseling van smalle banen met strepen en brede banden met ronde, vierzijdige en onregelmatige vlakken met een vlekachtig uitzicht. De kleurencombinatie bestaat uit zandkleur, oranje, grijs, rood, zwart en verschillende tinten blauw en bruin. Patroon nr.: 37/0656/2.;1962;1962;Landuyt, OctaveHerman Hart & CoTextieldrukkerij-Stoomweverij ‘De Nijverheid NV’;ontwerperontwerperuitvoerder;GentAmsterdamEnschede
2540_3-7;Design Museum Gent;gordijnstoflap;Boreale nr. 12;Het patroon, ontworpen door Octave Landuyt, maakt deel uit van de reeks 'Hartprints' van Herman Hart & Co. Deze Nederlandse firma, gespecialiseerd in gordijnstoffen, gaf aan diverse kunstenaars, zoals Landuyt en leden van de Cobra-beweging, de opdracht om dessins te ontwerpen. Het patroon van deze lap gordijnstof bestaat uit verspringende verticale rijen met een rond siermotief dat een opgerolde fossiele vis evoceert. De kleurencombinatie bestaat uit bruin, oranje, mosgroen en verschillende tinten grijsblauw. Patroon nr.: 35/0745/1.;1962;1962;Landuyt, OctaveHerman Hart & CoTextieldrukkerij-Stoomweverij ‘De Nijverheid NV’;ontwerperontwerperuitvoerder;GentAmsterdamEnschede
2540_4-7;Design Museum Gent;gordijnstoflap;Boreale nr. 16;Het patroon, ontworpen door Octave Landuyt, maakt deel uit van de reeks 'Hartprints' van Herman Hart & Co. Deze Nederlandse firma, gespecialiseerd in gordijnstoffen, gaf aan diverse kunstenaars, zoals Landuyt en leden van de Cobra-beweging, de opdracht om dessins te ontwerpen. Het patroon van deze lap gordijnstof wordt gevormd door een afwisseling van twee  verticale banen. De ene baan vertoont een blokkenpatroon. Op de andere baan wisselen een klein en en groter gestileerd bloemachtig motief elkaar af tegen een achtergrond van rechthoekige vlakken. De kleurencombinatie bestaat uit zwart, grijs, geel en verschillende tinten bruin. Patroon nr.: 36/0744/6.;1962;1962;Landuyt, OctaveHerman Hart & CoTextieldrukkerij-Stoomweverij ‘De Nijverheid NV’;ontwerperontwerperuitvoerder;GentAmsterdamEnschede
2540_5-7;Design Museum Gent;gordijnstoflap;Boreale nr. 14;Het patroon van deze lap gordijnstof bestaat uit verspringende, verticale rijen met rechthoekige vlakken die afwisselend een waterdruppelmotief  en een vlechtwerkpatroon vertonen. De kleurencombinatie omvat mosgroen, bruin, zwart en verschillende tinten rood. Patroon nr.: 34/0698/2.;1962;1962;Landuyt, OctaveTextieldrukkerij-Stoomweverij ‘De Nijverheid NV’;ontwerperuitvoerder;GentEnschede
2540_6-7;Design Museum Gent;gordijnstoflap;Cretonne nr. 15;Deze lap gordijnstof in linnenbinding vertoont een rasterpatroon van vierkante vlakken met verticale, onregelmatige strepen. De kleurencombinatie bestaaat uit oranje, geel en verschillende tinten blauw. Patroon nr.: 36/0810/2;1962;1962;Landuyt, OctaveTextieldrukkerij-Stoomweverij ‘De Nijverheid NV’;ontwerperuitvoerder;GentEnschede
2540_7-7;Design Museum Gent;gordijnstoflap;Boreale nr. 13;Het patroon, ontworpen door Octave Landuyt, maakt deel uit van de reeks 'Hartprints' van Herman Hart & Co. Deze Nederlandse firma, gespecialiseerd in gordijnstoffen, gaf aan diverse kunstenaars, zoals Landuyt en leden van de Cobra-beweging, de opdracht om dessins te ontwerpen. Het patroon van deze lap gordijnstof wordt gevormd door verticale banen op een onregelmatig gestreepte en gevlekte ondergrond. De banen worden gevormd door twee lijnen met tweelobbige motieven, waarbij de linkerhelft een rozet omvat. De kleurencombinatie bestaat uit mosgroen, oranjegeel, roestbruin, zwart en verschillende tinten grijs. Patroon nr.: 38/0742/6;1962;1962;Landuyt, OctaveHerman Hart & CoTextieldrukkerij-Stoomweverij ‘De Nijverheid NV’;ontwerperontwerperuitvoerder;GentAmsterdamEnschede
